"p1","eff"
"http://dbpedia.org/property/restingPlaceCoordinates",1
"http://dbpedia.org/property/1p",1
"http://dbpedia.org/property/award",1
"http://dbpedia.org/property/endyear",1
"http://dbpedia.org/property/startyear",1
"http://dbpedia.org/property/conf",1
"http://dbpedia.org/property/bowls",1
"http://dbpedia.org/property/commands",1
"http://dbpedia.org/property/qsWYear",1
"http://dbpedia.org/ontology/productionCompany",1
"http://dbpedia.org/ontology/writer",1
"http://dbpedia.org/property/subscribers",1
"http://dbpedia.org/property/accessed",1
"http://dbpedia.org/property/ranking",1
"http://dbpedia.org/ontology/militaryCommand",1
"http://dbpedia.org/property/notes",1
"http://dbpedia.org/property/arwuW",1
"http://dbpedia.org/ontology/type",1
"http://dbpedia.org/property/iccfRating",1
"http://dbpedia.org/property/music",1
"http://dbpedia.org/ontology/distributor",1
"http://dbpedia.org/property/contentstyle",1
"http://dbpedia.org/property/belowstyle",1
"http://dbpedia.org/property/homeTown",1
"http://dbpedia.org/property/format",1
"http://dbpedia.org/property/tablewidth",1
"http://dbpedia.org/property/3y",1
"http://dbpedia.org/property/wptMoneyFinishes",1
"http://dbpedia.org/property/accessDate",1
"http://dbpedia.org/property/headerstyle",1
"http://dbpedia.org/property/koLosses",1
"http://dbpedia.org/property/doctoral",1
"http://dbpedia.org/property/distributor",1
"http://dbpedia.org/property/runtime",1
"http://dbpedia.org/ontology/narrator",1
"http://dbpedia.org/property/qn",1
"http://dbpedia.org/property/channelUrl",1
"http://dbpedia.org/property/titlestyle",1
"http://dbpedia.org/property/jr/sr",1
"http://dbpedia.org/property/cwtsW",1
"http://dbpedia.org/property/endowment",1
"http://dbpedia.org/property/imageName",1
"http://dbpedia.org/property/enthroned",1
"http://dbpedia.org/property/coatOfArms",1
"http://dbpedia.org/property/sure",1
"http://dbpedia.org/ontology/producer",1
"http://dbpedia.org/property/lcheading",1
"http://dbpedia.org/property/accesso",1
"http://dbpedia.org/property/nome",1
"http://dbpedia.org/property/sport",1
"http://dbpedia.org/property/wsopFinalTables",1
"http://dbpedia.org/property/current",1
"http://dbpedia.org/property/koWins",1
"http://dbpedia.org/property/honors",1
"http://dbpedia.org/ontology/Person/height",1
"http://dbpedia.org/ontology/allegiance",1
"http://dbpedia.org/property/theW",1
"http://dbpedia.org/property/mottoeng",1
"http://dbpedia.org/property/otherName",1
"http://dbpedia.org/property/channel",1
"http://dbpedia.org/property/editing",1
"http://dbpedia.org/ontology/runtime",1
"http://dbpedia.org/ontology/rating",1
"http://dbpedia.org/property/color",1
"http://dbpedia.org/property/archbishopOf",1
"http://dbpedia.org/property/showMedals",1
"http://dbpedia.org/property/shortlink",1
"http://dbpedia.org/property/erdosNumber",1
"http://dbpedia.org/property/archiveUrl",1
"http://dbpedia.org/property/coachYears",1
"http://dbpedia.org/property/overallRecord",1
