,0
1963,sci_nat
1964,autre
1965,math
1966,math
1967,math
1968,math
1969,math
1970,math
1971,math
1972,math
1973,math
1974,math
1975,autre
1976,math
1977,sci_nat
1978,autre
1979,math
1980,math
1981,math
1982,math
1983,math
1984,sci_nat
1985,math
1986,autre
1987,math
1988,math
1989,math
1990,math
1991,math
1992,math
1993,math
1994,sci_nat
1995,math
1996,math
1997,math
1998,sci_nat
1999,math
2000,math
2001,math
2002,math
2003,math
2004,sci_nat
2005,math
2006,math
2007,autre
2008,math
2009,math
2010,math
2011,math
2012,math
2013,autre
2014,autre
2015,math
2016,math
2017,math
2018,sci_nat
2019,math
2020,math
2021,math
2022,sci_nat
2023,math
2024,math
2025,math
2026,math
2027,math
2028,math
2029,math
2030,autre
2031,math
2032,math
2033,math
2034,phylo
2035,math
2036,autre
2037,math
2038,math
2039,math
2040,sci_hum
2041,phylo
2042,math
2043,math
2044,math
2045,math
2046,math
2047,math
2048,math
2049,math
2050,autre
2051,math
2052,math
2053,autre
2054,autre
2055,math
2056,autre
2057,autre
2058,math
2059,math
2060,math
2061,autre
2062,autre
2063,autre
2064,math
2065,phylo
2066,math
2067,math
2068,autre
2069,phylo
2070,autre
2071,math
2072,math
2073,math
2074,math
2075,ing_info
2076,math
2077,math
2078,math
2079,math
2080,math
2081,sci_hum
2082,autre
2083,math
2084,math
2085,math
2086,sci_nat
2087,math
2088,math
2089,math
2090,math
2091,math
2092,sci_hum
2093,math
2094,math
2095,math
2096,math
2097,ing_info
2098,math
2099,math
2100,math
2101,autre
2102,math
2103,math
2104,math
2105,sci_nat
2106,math
2107,math
2108,autre
2109,math
2110,phylo
2111,sci_hum
2112,math
2113,math
2114,math
2115,math
2116,autre
2117,autre
2118,math
2119,autre
2120,math
2121,autre
2122,math
2123,math
2124,autre
2125,math
2126,math
2127,math
2128,math
2129,autre
2130,autre
2131,math
2132,autre
2133,autre
2134,sci_hum
2135,autre
2136,autre
2137,math
2138,math
2139,math
2140,math
2141,math
2142,math
2143,math
2144,math
2145,math
2146,autre
2147,math
2148,math
2149,math
2150,phylo
2151,math
2152,autre
2153,autre
2154,math
2155,autre
2156,sci_nat
2157,math
2158,math
2159,math
2160,autre
2161,math
2162,math
2163,math
2164,math
2165,math
2166,math
2167,math
2168,math
2169,math
2170,sci_nat
2171,math
2172,math
2173,math
2174,math
2175,sci_nat
2176,math
2177,math
2178,math
2179,math
2180,math
2181,autre
2182,sci_hum
2183,autre
2184,sci_nat
2185,math
2186,math
2187,autre
2188,math
2189,math
2190,sci_nat
2191,sci_nat
2192,autre
2193,ing_info
2194,math
