"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Mikhail_Kadets","http://dbpedia.org/resource/Harmonic_analysis","Harmonic analysis",1923
"http://dbpedia.org/resource/Mikhail_Kadets","http://dbpedia.org/resource/Banach_space","Banach space",1923
"http://dbpedia.org/resource/David_E._Muller","http://dbpedia.org/resource/Computer_scientist","Computer scientist",1924
"http://dbpedia.org/resource/David_E._Muller","http://dbpedia.org/resource/Mathematician","Mathematician",1924
"http://dbpedia.org/resource/Maxwell_Rosenlicht","http://dbpedia.org/resource/Mathematics","Mathematics",1924
"http://dbpedia.org/resource/Minoru_Tomita","http://dbpedia.org/resource/Mathematics","Mathematics",1924
"http://dbpedia.org/resource/Giovanni_Battista_Rizza","http://dbpedia.org/resource/Hypercomplex_analysis","Hypercomplex analysis",1924
"http://dbpedia.org/resource/Giovanni_Battista_Rizza","http://dbpedia.org/resource/Differential_geometry","Differential geometry",1924
"http://dbpedia.org/resource/Giovanni_Battista_Rizza","http://dbpedia.org/resource/Several_complex_variables","Several complex variables",1924
"http://dbpedia.org/resource/Louis_Leithold","http://dbpedia.org/resource/Mathematics","Mathematics",1924
"http://dbpedia.org/resource/Lucien_Le_Cam","http://dbpedia.org/resource/Mathematics","Mathematics",1924
"http://dbpedia.org/resource/Sigeru_Mizohata","http://dbpedia.org/resource/Mathematics","Mathematics",1924
"http://dbpedia.org/resource/Linards_Reiziņš","http://dbpedia.org/resource/Mathematician","Mathematician",1924
"http://dbpedia.org/resource/Steven_Gaal","http://dbpedia.org/resource/Mathematician","Mathematician",1924
"http://dbpedia.org/resource/Mahlon_E._Doyle","http://dbpedia.org/resource/Mathematician","Mathematician",1924
"http://dbpedia.org/resource/Mahlon_E._Doyle","http://dbpedia.org/resource/Cryptographer","Cryptographer",1924
"http://dbpedia.org/resource/Sigeru_Mizohata","http://dbpedia.org/resource/Partial_Differential_Equation","Partial Differential Equation",1924
"http://dbpedia.org/resource/Albert_Hibbs","http://dbpedia.org/resource/Mathematics","Mathematics",1924
"http://dbpedia.org/resource/Alexander_Esenin-Volpin","http://dbpedia.org/resource/Mathematics","Mathematics",1924
"http://dbpedia.org/resource/Eugene_Dynkin","http://dbpedia.org/resource/Mathematics","Mathematics",1924
"http://dbpedia.org/resource/Albert_Hibbs","http://dbpedia.org/resource/Physics","Physics",1924
